0,1,2,3,4,5,6,7,8,9,10,12,15,20,25,30
22/09/2010,1.533,1.551,1.569,1.59,1.62,1.659,1.703,1.749,1.788,1.82,1.857,1.864,1.926,1.993,2.059
05/04/2010,1.96,1.83,1.84,1.885,1.93,1.99,2.05,2.11,2.16,2.2075,2.27,2.34,2.42,2.48,2.54
16/06/2010,1.263,1.429,1.505,1.561,1.618,1.698,1.758,1.819,1.897,1.944,2.0285,2.121,2.222,2.274,2.355
07/09/2011,1.533,1.4705,1.6205,1.7005,1.7655,1.8155,1.8555,1.8905,1.9155,1.943,1.9805,2.0255,2.0955,2.1305,2.1855
08/11/2011,1.765,1.785,1.801,1.806,1.825,1.8665,1.904,1.9375,1.9705,1.995,2.038,2.099,2.145,2.17,2.24
10/03/2011,2.385,2.165,2.1665,2.1545,2.18,2.174,2.1815,2.1845,2.22,2.215,2.251,2.281,2.331,2.381,2.433
23/11/2011,1.877,1.724,1.689,1.661,1.668,1.708,1.767,1.815,1.8595,1.895,1.95,2.013,2.09,2.119,2.191
17/02/2011,2.1,2.02,2.01,2.02,2.04,2.06,2.08,2.13,2.193,2.2,2.271,2.312,2.349,2.394,2.4715
03/09/2010,1.445,1.475,1.494,1.522,1.543,1.617,1.678,1.741,1.799,1.8588,1.911,1.9748,2.0363,2.1073,2.145
26/07/2010,1.251,1.33,1.38,1.416,1.451,1.523,1.599,1.675,1.743,1.796,1.881,1.991,2.084,2.17,2.277
